block_num, xor_total_fee, xor_referrer_estimated, xor_burned_estimated, xor_dedicated_for_buy_back, val_burned, val_reminted_parliament
412, 12335372000000000, 1233537200000000, 4934148800000000, 6167686000000000, 0, 0
488, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
492, 5083967000000000, 508396700000000, 2033586800000000, 2541983500000000, 0, 0
495, 6027231000000000, 602723100000000, 2410892400000000, 3013615500000000, 0, 0
497, 2766596000000000, 276659600000000, 1106638400000000, 1383298000000000, 0, 0
1530, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1537, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1592, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1602, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1644, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1650, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1786, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1794, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1843, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1851, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1902, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1919, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1974, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 0, 0
2007, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 0, 0
2013, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1459460338504117, 145946033850412
2045, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1424876724359656, 142487672435966
2059, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 54859152721677959, 5485915272167796
2151, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 1277450775953251, 127745077595325
2160, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 1227435773131494, 122743577313149
2174, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 7213456636484403, 721345663648440
2212, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 291950473007563, 29195047300756
2315, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 288825550065935, 28882555006593
2385, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 902170104493673, 90217010449367
2391, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 872346270876317, 87234627087632
2406, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 5238260419372264, 523826041937226
2459, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 4277881651156238, 427788165115624
2468, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 564560808805288, 56456080880529
2480, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 174342531882906, 17434253188291
2519, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 174230326378326, 17423032637833
2531, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 174118229160792, 17411822916079
2561, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1735040668484530, 173504066848453
2598, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1723949035126247, 172394903512625
2618, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1712963421490286, 171296342149029
2722, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 170749395560810, 17074939556081
2727, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 170747063357857, 17074706335786
2746, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 12351074878251594, 1235107487825159
2802, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1705655974614411, 170565597461441
2803, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 184476749368185, 18447674936818
2824, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 526506884219428, 52650688421943
2831, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 5264374383986556, 526437438398656
2883, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 947543232264092, 94754323226409
2889, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1115215836097905, 111521583609790
2890, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1115176908370606, 111517690837061
2891, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1296491856661858, 129649185666186
2892, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1296443061758950, 129644306175895
2893, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1296394269610665, 129639426961066
2894, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1922315922198047, 192231592219805
2900, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69943196372009642, 6994319637200964
2900, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69923865110062413, 6992386511006241
2908, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 698177192408783266, 69817719240878327
2923, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69711749127386889, 6971174912738689
2924, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69692513732292020, 6969251373229202
2925, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69673286297463307, 6967328629746331
2926, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69654066818509048, 6965406681850905
2929, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69634855291040568, 6963485529104057
2932, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 695293665094658748, 69529366509465875
2932, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69424052034811674, 6942405203481167
2941, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69404935583954828, 6940493558395483
2945, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 692999685728888957, 69299968572888896
2950, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69195174720460600, 6919517472046060
2953, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 690906829804432288, 69090682980443229
2953, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68986363354766048, 6898636335476605
2955, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 688823440208703915, 68882344020870391
2960, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68778495764878153, 6877849576487815
2967, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68759645313448748, 6875964531344875
2970, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68740802610607627, 6874080261060763
2975, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68721967652108568, 6872196765210857
2982, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68703140433708257, 6870314043370826
3010, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68684320951166288, 6868432095116629
3016, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68665509200245157, 6866550920024516
3017, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68646705176710259, 6864670517671026
3019, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68627908876329892, 6862790887632989
3023, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 50029068271206955, 5002906827120695
3025, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 50017373559988901, 5001737355998890
3026, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 50005682948895793, 5000568294889579
3029, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 49993996436011201, 4999399643601120
3037, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 38004858898044941, 3800485889804494
3040, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37997115629084725, 3799711562908472
3043, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 379545796591390310, 37954579659139031
3066, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 121066857379384133, 12106685737938413
3072, 11725917000000000, 1172591700000000, 4690366800000000, 5862958500000000, 633649320618297344, 63364932061829734
3075, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37758662071309123, 3775866207130912
3077, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 120552459326462524, 12055245932646252
3081, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37726516940767228, 3772651694076723
3084, 8877463000000000, 887746300000000, 3550985200000000, 4438731500000000, 477787440099884250, 47778744009988425
3087, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37621936499893678, 3762193649989368
3092, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37614309957087208, 3761430995708721
3103, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37606685733071281, 3760668573307128
3119, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37599063826905979, 3759906382690598
3139, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37591444237651861, 3759144423765186
3159, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37583826964369961, 3758382696436996
3170, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 2699934589365434520, 269993458936543452
3170, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37031189428078462, 3703118942807846
3176, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 37023741799563570, 3702374179956357
3181, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 802498980720119, 80249898072012
3187, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 8023683052889915, 802368305288991
3189, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 7982548819609260, 798254881960926
3189, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 793884826068536, 79388482606854
3191, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 793095013332257, 79309501333226
3194, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 792306378652269, 79230637865227
3196, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 791518919686880, 79151891968688
3196, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 3189299856687890, 318929985668789
3197, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 3182945003238820, 318294500323882
3201, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 10297621631434413, 1029762163143441
3202, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 10260795940848723, 1026079594084872
3203, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 14097498858608679, 1409749885860868
3205, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 86741436894810950, 8674143689481095
3211, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 219481634986829933, 21948163498682993
3213, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 215892855400662514, 21589285540066251
3220, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 152660097337690801, 15266009733769080
3228, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1418514744314166372, 141851474431416637
3233, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 132721052881911305, 13272105288191130
3249, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131974020819524767, 13197402081952477
3257, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131973819455721061, 13197381945572106
3265, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131973618092378210, 13197361809237821
3273, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131990453823537636, 13199045382353764
3284, 6027231000000000, 602723100000000, 2410892400000000, 3013615500000000, 1136473031525321890, 113647303152532189
3305, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131988518330563868, 13198851833056387
3321, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131988316977602384, 13198831697760238
3337, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131988115625101657, 13198811562510166
3343, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131944567350021745, 13194456735002174
3345, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131944366097624917, 13194436609762492
3365, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131944164845688539, 13194416484568854
3391, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131943963652340802, 13194396365234080
3393, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131943762517581350, 13194376251758135
3402, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 131943561383281812, 13194356138328181
3404, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126821952714000009, 12682195271400001
3407, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126821763176780858, 12682176317678086
3410, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126806721655459399, 12680672165545940
3413, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126836422393040954, 12683642239304095
3415, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126836232823383176, 12683623282338318
3416, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126836043254150395, 12683604325415039
3417, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1268350006327199120, 126835000632719912
3423, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126833958020639154, 12683395802063915
3437, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126833768456506222, 12683376845650622
3441, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 405114665103721543, 40511466510372154
3446, 5083967000000000, 508396700000000, 2033586800000000, 2541983500000000, 921159476502755418, 92115947650275542
3446, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126831596690558053, 12683159669055805
3446, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126579841274931437, 12657984127493144
3455, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126579652314607873, 12657965231460787
3456, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126579463354707432, 12657946335470743
3457, 6027231000000000, 602723100000000, 2410892400000000, 3013615500000000, 1089883132731284028, 108988313273128403
3458, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126577647409279900, 12657764740927990
3460, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126577458453868867, 12657745845386887
3461, 2766596000000000, 276659600000000, 1106638400000000, 1383298000000000, 500267708313302548, 50026770831330255
3464, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126576522830815876, 12657652283081588
3466, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126163818156032490, 12616381815603249
3469, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126163630386860064, 12616363038686006
3470, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126163442618106822, 12616344261810682
3472, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126163254849772763, 12616325484977276
3473, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1261622221331573678, 126162222133157368
3473, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126161189425763814, 12616118942576381
3475, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 126161001662459850, 12616100166245985
3477, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 122889920423350579, 12288992042335058
